1651877810,34.97
1651877870,32.63
1651877930,32.95
1651877990,32.33
1651878050,32.08
1651878111,40.58
1651878171,32.72
1651878231,32.98
1651878291,33.34
1651878351,32.83
1651878411,35.11
1651878471,32.01
1651878531,32.80
1651878591,32.15
1651878651,32.85
1651878711,31.91
1651878772,31.89
1651878832,32.75
1651878892,32.25
1651878952,33.38
1651879012,32.99
1651879072,31.70
1651879132,31.81
1651879192,54.10
1651879252,32.69
1651879312,32.56
1651879372,31.88
1651879432,32.09
1651879493,33.11
1651879553,32.73
1651879613,33.44
1651879673,36.49
1651879733,33.86
1651879793,32.41
1651879853,32.24
1651879913,33.13
1651879973,33.34
1651880033,35.35
1651880093,32.93
1651880153,33.32
1651880214,32.91
1651880274,33.27
1651880334,31.88
1651880394,33.18
1651880454,33.52
1651880514,32.81
1651880574,32.17
1651880634,32.48
1651880694,33.50
1651880754,32.25
1651880814,32.23
1651880874,33.71
1651880934,34.95
1651880995,37.65
1651881055,33.42
1651881115,33.34
1651881175,32.74
1651881235,34.26
1651881295,32.68
1651881355,33.27
1651881415,33.72
1651881475,32.33
